Ex01,Ex02,Ex03,Ex04,Project,Examen,Total
100,85,80,70,80,79,81
100,85,80,90,93,66,79
100,100,85,30,70,16,42
95,95,100,55,87,47,67
65,95,65,25,70,10,39
90,90,80,95,75,74,78
95,85,100,100,100,90,94
100,85,80,50,68,80,77
80,90,90,90,67,12,42
90,75,100,90,74,61,70
85,70,70,0,73,33,50
100,85,70,50,86,51,68
95,80,80,85,93,77,84
95,85,100,90,85,76,82
95,90,65,80,97,80,86
100,90,70,80,92,68,76
95,80,80,70,82,77,80
80,80,65,60,55,65,62
80,90,70,95,75,37,58
100,100,100,90,72,81,82
100,100,100,65,90,60,76
70,85,65,100,65,64,64
95,90,100,90,70,43,62
100,90,65,70,68,31,53
80,85,80,90,72,51,65
100,100,100,40,70,66,69
75,90,75,70,93,84,86
100,100,80,80,100,73,83
100,60,95,40,80,28,53
100,100,80,90,72,48,64
95,90,90,90,81,67,76
95,75,75,30,55,76,70
95,80,90,90,85,68,78
100,90,80,80,77,68,75
90,85,80,60,55,80,73
90,90,75,75,72,71,70
100,90,80,100,95,89,92
80,85,100,80,92,71,81
95,95,80,85,70,81,80
95,60,80,90,90,82,85
60,85,60,20,70,33,48
100,80,100,50,75,16,47
100,60,80,85,68,57,66
60,80,70,40,0,32,26
90,70,45,65,90,20,52
100,100,90,55,75,51,64
100,100,90,90,85,44,67
100,95,90,95,75,59,71
100,90,95,100,90,87,90
100,75,65,50,68,32,52
100,100,80,95,85,80,85
80,95,85,75,70,29,52
100,80,80,80,77,89,85
100,95,95,90,85,60,75
100,85,80,95,75,90,83
90,85,80,90,85,38,62
80,60,80,85,70,77,76
60,85,75,85,70,32,53
65,90,90,85,69,54,65
100,90,90,85,75,65,74
90,80,65,70,70,57,66